trial_id,model_id,density,metadata_surface_condition,attack_family,defense_condition,payload_id,phase1_payload_hash,task_id,task_hash,payload_condition,status
T08881,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_007,591c6b695c4488c3b88003a171d59ed48bfd7b819f9e57b6db8b59ed7669cbd9,NONE,PENDING
T09212,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_042,8e34be9643bce1f3d7390886dd98aa9080bad42c8373da84fe933648066a98a7,NONE,PENDING
T08817,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_007,591c6b695c4488c3b88003a171d59ed48bfd7b819f9e57b6db8b59ed7669cbd9,NONE,PENDING
T09236,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_010,4ae0ecdc234f6ffa54b460955127581bc5858a91fda26ffdbca58d45c3012d1a,NONE,PENDING
T09378,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_030,94d91f48ed1be4ff10055433e8650985c87f936f94852f3ee72ee50f42b326d3,NONE,PENDING
T09391,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_011,1d1c301946b08a1bfa6fd285a19dd85af4440bae3e3068299d873713505b5100,NONE,PENDING
T09098,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_003,c12fd93d477288ed8c9639d67eb6ff120075efccffcbb5f1089e0a7ac46845b2,NONE,PENDING
T08280,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_023,008139b66d8cdc64b16d223bcf8746a4f86842de334262eeba2fcb88095ecd87,NONE,PENDING
T10043,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_020,8cb9362f785892797e2c06bdefbe13da0e77974e4bcc83931e59edbbab6dfb31,NONE,PENDING
T09781,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_032,ca69d5625dcf5dcb94e359db17450fd4c61bfd13a554b9a7ab8d4b546dfb0488,NONE,PENDING
T09529,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_026,9e612299b91d436620619535baa2805c0a237493473e19ecb0139c7816814ef8,NONE,PENDING
T10022,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_027,cdf4212d2d39a044dd97ab77a4f67743ef9bb7984990ceea0849aeb5c7ce35fd,NONE,PENDING
T09115,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_004,9eab416bdaaca2be564b72a3b7b53664a0c5427a267fa36050b48fc41f1d4392,NONE,PENDING
T09530,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_029,9e7510326306e5113ab1948b02d7e8eeb62eb2473d920f8d2e6142f802d2902f,NONE,PENDING
T08976,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_002,887d98ce84590a765e49b1dde50466ef246639ebe7bab36069f0bd042ddc0ddd,NONE,PENDING
T10075,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_037,adca19f7dd623362905866a25ddd10d4e989897940cf21af699f90d09d31302d,NONE,PENDING
T09220,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_008,399ac56c2f5c91e4cfe58dfa226df1ff8da6fc1a44acd0d1a4198ad063eb56b7,NONE,PENDING
T08676,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_027,1cb682badb3f23c3160c85f2e7820a11e317097ca27b17347a1f3e479f2b2b1f,NONE,PENDING
T08208,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_034,dd3343525c2e757283c02c9d73aa829871244851a7133cdaa84d5ed25d722f23,NONE,PENDING
T09392,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T08691,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_022,36076bc55e5d464ad34daa935ab037c21de1be1db0acd314cd137c9c2d627a82,NONE,PENDING
T08680,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_004,9eab416bdaaca2be564b72a3b7b53664a0c5427a267fa36050b48fc41f1d4392,NONE,PENDING
T08401,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_049,22621f691bd5996330f8e9a9b1b67892cf0f83f0c5ae848cc3762e60ea6bb0b7,NONE,PENDING
T09496,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_044,c79a3d79e95431e0c4df9ed3c997cbf11aa9d4937c04ee3848c7a5b6739fad11,NONE,PENDING
T09275,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_049,22621f691bd5996330f8e9a9b1b67892cf0f83f0c5ae848cc3762e60ea6bb0b7,NONE,PENDING
T08945,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_014,d5f37a1b7a460b64456e287a76d811fec6888d6b659ff25915816608d3b9d246,NONE,PENDING
T10129,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_007,591c6b695c4488c3b88003a171d59ed48bfd7b819f9e57b6db8b59ed7669cbd9,NONE,PENDING
T08372,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_009,ae0b99ef14b20231ac222602c46666ad96ac3c47b9d4af4156c93dd13c7d7f3e,NONE,PENDING
T09520,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_039,78ea8be4e8eea5f37850065da58e6aeda584692cddb111610999ba5aabcd634d,NONE,PENDING
T09499,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_034,dd3343525c2e757283c02c9d73aa829871244851a7133cdaa84d5ed25d722f23,NONE,PENDING
T09919,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_034,dd3343525c2e757283c02c9d73aa829871244851a7133cdaa84d5ed25d722f23,NONE,PENDING
T09110,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_023,a8e7ae19b01e01e52bc370d2a08148aef737d87847db2156b2c8d4399589d90a,NONE,PENDING
T08857,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_040,252971e09c17367ca824bd6a3fec508dfe67c835dca406212d9ded51a73b23a5,NONE,PENDING
T08341,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T07824,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_010,4ae0ecdc234f6ffa54b460955127581bc5858a91fda26ffdbca58d45c3012d1a,NONE,PENDING
T08855,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_013,c48b47e5d9de69b36fe54a6b755283065ccbde91adcbe6f037ad4d03649613cf,NONE,PENDING
T09553,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_008,a8f9a54f8300e7f9c3a37563ac3346ecf6a78ae39b0d058883c4171748e70d80,NONE,PENDING
T09688,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_011,dfe20ac34df4da54087cf7c8706ea32b595b19f414d05a5cddfb79853c037f60,NONE,PENDING
T08608,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_049,22621f691bd5996330f8e9a9b1b67892cf0f83f0c5ae848cc3762e60ea6bb0b7,NONE,PENDING
T09034,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_044,5b30dcbd926147e68019e12b715a7e1f0ec783d6daea3a7fe8579f55f2d19b44,NONE,PENDING
T09503,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_000,cf3179de0ddf08dd254d03b3846432ecf37de5f0f17f33b039c5756c1db8934e,NONE,PENDING
T09784,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_021,e86baffa1720eeecb58139911e65c5ffdb7ab3c717ba459989023debe9b88a96,NONE,PENDING
T09429,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_041,5e2a3e04dcb0be985af633c4185fb91f305c1e5eccd445278a91988a986dc86e,NONE,PENDING
T08432,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_047,1bbb8f50dcf206593bc193c491d5816799f69c74311ced237dd17d0ca7cf8784,NONE,PENDING
T09875,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_010,4ae0ecdc234f6ffa54b460955127581bc5858a91fda26ffdbca58d45c3012d1a,NONE,PENDING
T08599,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_042,8e34be9643bce1f3d7390886dd98aa9080bad42c8373da84fe933648066a98a7,NONE,PENDING
T09233,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_029,07f96c3e928777f06325e951e95b246c169395a34c99837e3e37efc73ce53f01,NONE,PENDING
T09817,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_043,46be8c72b74e59bbc2c55e8054ede35f5ff26d451318c9f0005d5746f2e70ee3,NONE,PENDING
T09337,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_020,8cb9362f785892797e2c06bdefbe13da0e77974e4bcc83931e59edbbab6dfb31,NONE,PENDING
T09203,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_021,e86baffa1720eeecb58139911e65c5ffdb7ab3c717ba459989023debe9b88a96,NONE,PENDING
T08458,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_023,a8e7ae19b01e01e52bc370d2a08148aef737d87847db2156b2c8d4399589d90a,NONE,PENDING
T09724,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_049,22621f691bd5996330f8e9a9b1b67892cf0f83f0c5ae848cc3762e60ea6bb0b7,NONE,PENDING
T09261,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_042,8e34be9643bce1f3d7390886dd98aa9080bad42c8373da84fe933648066a98a7,NONE,PENDING
T09191,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_026,b0a7798fc737bc1a05a41914f36338cc89b74841e9cee1e3cefb4126f609ea94,NONE,PENDING
T09992,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_047,fcead6e1c26639f552d742d285adc898060d78da5b00fb361aa2de73dba0ca87,NONE,PENDING
T08055,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_047,1bbb8f50dcf206593bc193c491d5816799f69c74311ced237dd17d0ca7cf8784,NONE,PENDING
T09569,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_049,1dfe11ae9e2ba9ebb0a0c88157f59c769f402bb65b262b4e0ac4266356a971f9,NONE,PENDING
T09171,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_004,9eab416bdaaca2be564b72a3b7b53664a0c5427a267fa36050b48fc41f1d4392,NONE,PENDING
T08124,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_019,72491fb60f676566e807f8569c616c180f89ba02405b2930ce988f2ea97c392d,NONE,PENDING
T10181,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_011,1d1c301946b08a1bfa6fd285a19dd85af4440bae3e3068299d873713505b5100,NONE,PENDING
T08329,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_008,a8f9a54f8300e7f9c3a37563ac3346ecf6a78ae39b0d058883c4171748e70d80,NONE,PENDING
T10014,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_009,ae0b99ef14b20231ac222602c46666ad96ac3c47b9d4af4156c93dd13c7d7f3e,NONE,PENDING
T09019,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_009,eb5b86567959453ebdb68e3c02143e5de8d0778a0e73c89b38fe31ecaf3e27d5,NONE,PENDING
T08051,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_006,8f14c25a6ade59f61b0ac144e1486ea49fa61603fdd8fdea383b39d2efd7f114,NONE,PENDING
T09175,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_007,dd539acd2dc08b61af0d79f502da92125bb429ad23f6e2af04e84d19cd5843f9,NONE,PENDING
T07854,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_007,dd539acd2dc08b61af0d79f502da92125bb429ad23f6e2af04e84d19cd5843f9,NONE,PENDING
T09832,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_031,191934db3a3c4ac31d94e77e55fc0baa5db4d3eeb912d36104d5805d6aa2fe77,NONE,PENDING
T08440,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_004,9eab416bdaaca2be564b72a3b7b53664a0c5427a267fa36050b48fc41f1d4392,NONE,PENDING
T09502,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_009,ae0b99ef14b20231ac222602c46666ad96ac3c47b9d4af4156c93dd13c7d7f3e,NONE,PENDING
T07839,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_002,20d5e01c65fb09db91cd3e467438075b70dc5248a9ea0e9eeb129f484439e888,NONE,PENDING
T09869,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_005,7c4f5d29a5b4596835c2938d8449525c45f2f1afa6ba5680ef2fc22f0e0cb2d0,NONE,PENDING
T10020,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_031,de27525b6ec5148be68c176e92cfa746a1a1c8add2c5c737c7741fcd43e9ac84,NONE,PENDING
T09338,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_038,3db86c7bc8177cf0b681488c2297d67ffdd28bd0d3cf5b07a5aecd5f0d4ea651,NONE,PENDING
T08003,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_019,6818ef7a60f04ca99595528159c32592fd74daf7b03481f6233cfed3d01d4d95,NONE,PENDING
T09858,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_022,36076bc55e5d464ad34daa935ab037c21de1be1db0acd314cd137c9c2d627a82,NONE,PENDING
T08795,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_014,d5f37a1b7a460b64456e287a76d811fec6888d6b659ff25915816608d3b9d246,NONE,PENDING
T09283,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_032,ca69d5625dcf5dcb94e359db17450fd4c61bfd13a554b9a7ab8d4b546dfb0488,NONE,PENDING
T09710,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_023,a8e7ae19b01e01e52bc370d2a08148aef737d87847db2156b2c8d4399589d90a,NONE,PENDING
T09090,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_034,f03139fef9d2eb1a5161a3fc8bf538dc5d3eee64fd988f26d260e0f0d05ea2b6,NONE,PENDING
T09106,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_029,07f96c3e928777f06325e951e95b246c169395a34c99837e3e37efc73ce53f01,NONE,PENDING
T08105,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_030,94d91f48ed1be4ff10055433e8650985c87f936f94852f3ee72ee50f42b326d3,NONE,PENDING
T10030,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_001,f6707342446e5b472f95c31105c911bafb1648f9c5d65b9c2584ca4d454c801c,NONE,PENDING
T08417,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_038,f563c44d81ba354d65a8963f00a0fa1305a100f4332d062f71f65dbcd527f768,NONE,PENDING
T07893,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_031,191934db3a3c4ac31d94e77e55fc0baa5db4d3eeb912d36104d5805d6aa2fe77,NONE,PENDING
T08997,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T07970,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_013,15b44f5ce476b20657000bbf64e438ac7e1615c605e60845c35ecb5b692afa84,NONE,PENDING
T09634,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_030,a4ec8ae3dbb2f7e705ce6c8fb9809ab31ef7c3e8f32f761b44278e29ceb7839f,NONE,PENDING
T09178,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_031,191934db3a3c4ac31d94e77e55fc0baa5db4d3eeb912d36104d5805d6aa2fe77,NONE,PENDING
T08299,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_025,a3a2874881ed709eef0fc52fb9be666be2385719df50acab923d2dcee4ee5829,NONE,PENDING
T08260,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_012,a741ce7151c8b069b771c5cc141fd0ab37f238c470a451ea1f13ccca77fe35fa,NONE,PENDING
T08675,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_030,a4ec8ae3dbb2f7e705ce6c8fb9809ab31ef7c3e8f32f761b44278e29ceb7839f,NONE,PENDING
T08102,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_003,400054e350eaebbc9fd25398128bf52bd355e02ab63828b4a7d9ceb4ee1e6f6a,NONE,PENDING
T07983,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_010,4ae0ecdc234f6ffa54b460955127581bc5858a91fda26ffdbca58d45c3012d1a,NONE,PENDING
T09226,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_023,a8e7ae19b01e01e52bc370d2a08148aef737d87847db2156b2c8d4399589d90a,NONE,PENDING
T10162,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_010,884dc04f48cf46c37eaf612434325ec8c9adec93484356dcbb799169a87242dd,NONE,PENDING
T08405,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_032,ca69d5625dcf5dcb94e359db17450fd4c61bfd13a554b9a7ab8d4b546dfb0488,NONE,PENDING
T09779,M4,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_031,191934db3a3c4ac31d94e77e55fc0baa5db4d3eeb912d36104d5805d6aa2fe77,NONE,PENDING
T07900,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_012,4d6faceb7612071fc8dcdb891241e10b20cff8b8e9e5504bba381fa041d39ad1,NONE,PENDING
T07957,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_029,07f96c3e928777f06325e951e95b246c169395a34c99837e3e37efc73ce53f01,NONE,PENDING
T08044,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_002,20d5e01c65fb09db91cd3e467438075b70dc5248a9ea0e9eeb129f484439e888,NONE,PENDING
T07866,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_006,8f14c25a6ade59f61b0ac144e1486ea49fa61603fdd8fdea383b39d2efd7f114,NONE,PENDING
T08212,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_042,28fa8f92eb3adea9cbb5a6137a52afec419a5be2215db6931135bb193b6da264,NONE,PENDING
T09626,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_048,7cce081f2b831047c850771b01020482897baefd02607f96c10868e94e3bd836,NONE,PENDING
T10113,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_038,3db86c7bc8177cf0b681488c2297d67ffdd28bd0d3cf5b07a5aecd5f0d4ea651,NONE,PENDING
T09016,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_037,f4c6ecda6ba063ea76b3597fa2777d2226dc835ba9461f0f821357230eecccff,NONE,PENDING
T08693,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_043,46be8c72b74e59bbc2c55e8054ede35f5ff26d451318c9f0005d5746f2e70ee3,NONE,PENDING
T09514,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_013,c48b47e5d9de69b36fe54a6b755283065ccbde91adcbe6f037ad4d03649613cf,NONE,PENDING
T08403,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_030,a4ec8ae3dbb2f7e705ce6c8fb9809ab31ef7c3e8f32f761b44278e29ceb7839f,NONE,PENDING
T09448,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_044,c79a3d79e95431e0c4df9ed3c997cbf11aa9d4937c04ee3848c7a5b6739fad11,NONE,PENDING
T08547,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_033,548f368b9b45c0e47781fa8698217b02f66f1059476f4fadac1357ad75415f2b,NONE,PENDING
T08658,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_041,97838d2ebb1e15e41c3301cefc15a59f065ba99cfd215fb16d36e81c58f7c320,NONE,PENDING
T08214,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_004,c160d0fa6bb01082fc0eaa042df6202e11bbfee4fcce3f8dd4a426439d8cd2d2,NONE,PENDING
T08709,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_012,a741ce7151c8b069b771c5cc141fd0ab37f238c470a451ea1f13ccca77fe35fa,NONE,PENDING
T08123,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_022,c14e284ce1160c550950013ff4a34609ef25c4ea5e3711e1fbd9feda6c58f524,NONE,PENDING
T08816,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_004,c160d0fa6bb01082fc0eaa042df6202e11bbfee4fcce3f8dd4a426439d8cd2d2,NONE,PENDING
T08251,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_042,28fa8f92eb3adea9cbb5a6137a52afec419a5be2215db6931135bb193b6da264,NONE,PENDING
T08365,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_045,7375efeaebf5c366610c1ddf9a6ff0e18e7bec582c5aaad04d90e696cbcfcc14,NONE,PENDING
T08929,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_004,c160d0fa6bb01082fc0eaa042df6202e11bbfee4fcce3f8dd4a426439d8cd2d2,NONE,PENDING
T08030,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_006,8f14c25a6ade59f61b0ac144e1486ea49fa61603fdd8fdea383b39d2efd7f114,NONE,PENDING
T09353,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_022,c14e284ce1160c550950013ff4a34609ef25c4ea5e3711e1fbd9feda6c58f524,NONE,PENDING
T10069,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_015,5299e252ff73ce77953a3c42cd1f8c82e6982e509b17e976fe282fab82da46cc,NONE,PENDING
T08810,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_013,c48b47e5d9de69b36fe54a6b755283065ccbde91adcbe6f037ad4d03649613cf,NONE,PENDING
T08627,M2,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_031,191934db3a3c4ac31d94e77e55fc0baa5db4d3eeb912d36104d5805d6aa2fe77,NONE,PENDING
T09592,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_038,3db86c7bc8177cf0b681488c2297d67ffdd28bd0d3cf5b07a5aecd5f0d4ea651,NONE,PENDING
T08825,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T08006,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_019,6818ef7a60f04ca99595528159c32592fd74daf7b03481f6233cfed3d01d4d95,NONE,PENDING
T09007,M3,D3,CLEAN,NONE,BASELINE,,,d3_task_017,4da1164dc9565f4f41cda49992efebc8ed5f81258e1fd6df9623825942a30a0b,NONE,PENDING
T09436,M3,D5,CLEAN,NONE,BASELINE,,,d5_task_004,c160d0fa6bb01082fc0eaa042df6202e11bbfee4fcce3f8dd4a426439d8cd2d2,NONE,PENDING
T09485,M3,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_038,3db86c7bc8177cf0b681488c2297d67ffdd28bd0d3cf5b07a5aecd5f0d4ea651,NONE,PENDING
T08467,M2,D3,CLEAN,NONE,BASELINE,,,d3_task_021,e86baffa1720eeecb58139911e65c5ffdb7ab3c717ba459989023debe9b88a96,NONE,PENDING
T07803,M1,D3,CLEAN,NONE,BASELINE,,,d3_task_035,8ec2914f4c30bacc993c73a84e8d26070d75cedab3e079343d52557c284649be,NONE,PENDING
T09238,M3,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_034,f03139fef9d2eb1a5161a3fc8bf538dc5d3eee64fd988f26d260e0f0d05ea2b6,NONE,PENDING
T08878,M2,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_035,553420efdd23f1ee46c7ec87098057590e92bba38f6867c6b0896be386eaa0dd,NONE,PENDING
T09964,M4,D5,CLEAN,NONE,BASELINE,,,d5_task_001,f6707342446e5b472f95c31105c911bafb1648f9c5d65b9c2584ca4d454c801c,NONE,PENDING
T08755,M2,D5,CLEAN,NONE,BASELINE,,,d5_task_041,5e2a3e04dcb0be985af633c4185fb91f305c1e5eccd445278a91988a986dc86e,NONE,PENDING
T08252,M1,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_009,ae0b99ef14b20231ac222602c46666ad96ac3c47b9d4af4156c93dd13c7d7f3e,NONE,PENDING
T10086,M4,D5,CLEAN,NONE,IHR_SPCE,,,d5_task_013,c48b47e5d9de69b36fe54a6b755283065ccbde91adcbe6f037ad4d03649613cf,NONE,PENDING
T09664,M4,D3,CLEAN,NONE,BASELINE,,,d3_task_046,5ed40e14eee620ce820e6757929f1693a500f05512b5c2f1244420e2a873f5eb,NONE,PENDING
T08012,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_012,4d6faceb7612071fc8dcdb891241e10b20cff8b8e9e5504bba381fa041d39ad1,NONE,PENDING
T08080,M1,D3,CLEAN,NONE,IHR_SPCE,,,d3_task_039,e5771628ac4ec5bbd9a63b9ed734f49ee1bd25d40cbb772ea50b0aaecd25f0b8,NONE,PENDING
T08246,M1,D5,CLEAN,NONE,BASELINE,,,d5_task_048,ca05d51d7a07284389621bea3c4ec7614920728e1c0bcff1c4d05704385c73aa,NONE,PENDING
